Accession.No.	Uberstrain	Name	Sequencing.Platform	Sequencing.Library	Insert.Size	Experiment	Bases	Average.Length	Barcode	Source.Niche	Source.Type	Source.Details	Collection.Year	Collection.Month	Collection.Day	Collection.Time	Continent	Country	Region	District	City	Post.Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic.Formulas	Lab.Contact	Phage.Type	Comment	Bio.Project.ID	Project.ID	Sample.ID	Secondary.Sample.ID	Date.Entered	Release.Date	Status	Coverage	N50.x	Length	Species	Contig.Number...200.bp.	Low.Quality.Bases	Version	Assembly.Barcode	Project	Center	Technology	Processing.date	Predicted.Serovar	Predicted.Antigenic.Profile	ContamStatus	NumContamSNVs	percentContam	N50.y	Number.of.contigs	Largest.contig.x	Total.assembly.length	SNP.reference	Scaffolding.reference	X..contigs.....0.bp.	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig.y	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..scaffold.gap.ext..mis.	X..scaffold.gap.loc..mis.	X..unaligned.mis..contigs	X..unaligned.contigs	X..unaligned.contigs_partial	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..genomic.features	X..genomic.features_partial	Largest.alignment	Total.aligned.length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	mean_depth_cov	std_depth_cov	breadth_cov
ERR2197899	SAL_NA7664AA	16-166035_S23	ILLUMINA	Paired	885	ERX2253513	NA	NA	SAL_NA7664AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Italy	NA	NA	NA	NA	NA	NA	Enteritidisï¿½	I	NA	NA	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE	NA	NA	PRJEB23485	ERP105243	SAMEA104390736	ERS2008678	30/01/2018	28/01/2018	Assembled	76	491942	4703049	"Salmonella enterica;100.0%"	40	935	3.61	SAL_YA6191AA_AS	ADONIS	ISTITUTO_ZOOPROFILATTICO_SPERIMENTALE_DELLE_VENEZI		2020-02-07T15:31:42.000Z	Enteritidis	9:g,m:-	False	0	0	4703846	7	4703846	4705969	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	7.0	1	1	1	1	1	4705969.0	4703846	4703846	4703846	4703846	4703846	7	4703846	4705969	4774402	52.14	52.15	4703846	4703846	4703846	4703846	1	1	1	1	25	1	4703846	18	0.0	0.0	0	3	1	3102	98.444	1.001	0.57	5.36	0.68	4396	33	1915716	4700911	490602	490602	304268	304268	2	2	5	5	72.6902	28.18	92.21
ERR2197901	SAL_NA7662AA	16-166037_S25	ILLUMINA	Paired	1063	ERX2253515	NA	NA	SAL_NA7662AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Italy	NA	NA	NA	NA	NA	NA	Enteritidisï¿½	I	NA	NA	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE	NA	NA	PRJEB23485	ERP105243	SAMEA104390738	ERS2008680	30/01/2018	28/01/2018	Assembled	64	406519	4703312	"Salmonella enterica;100.0%"	39	1328	3.61	SAL_YA6193AA_AS	ADONIS	ISTITUTO_ZOOPROFILATTICO_SPERIMENTALE_DELLE_VENEZI		2020-02-07T15:31:43.000Z	N/A	9:g,m:e,n,x,z15	False	1	0	4704392	11	4704392	4708074	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	11.0	1	1	1	1	1	4708074.0	4704392	4704392	4704392	4704392	4704392	11	4704392	4708074	4774402	52.14	52.15	4704392	4704392	4704392	4704392	1	1	1	1	21	1	4704392	18	0.0	0.0	0	8	1	6175	98.425	1.001	0.47	6.79	1.11	4395	34	1915711	4695759	725954	725954	433402	304706	2	2	4	5	60.4111	24.03	92.19
ERR2197902	SAL_NA7661AA	16-166038_S26	ILLUMINA	Paired	730	ERX2253516	NA	NA	SAL_NA7661AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Italy	NA	NA	NA	NA	NA	NA	Enteritidisï¿½	I	NA	NA	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE	NA	NA	PRJEB23485	ERP105243	SAMEA104390739	ERS2008681	30/01/2018	28/01/2018	Assembled	91	406246	4703056	"Salmonella enterica;100.0%"	50	2777	3.61	SAL_YA6194AA_AS	ADONIS	ISTITUTO_ZOOPROFILATTICO_SPERIMENTALE_DELLE_VENEZI		2020-02-07T15:31:41.000Z	Enteritidis	9:g,m:-	False	0	0	4702650	14	4702650	4707892	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	14.0	1	1	1	1	1	4707892.0	4702650	4702650	4702650	4702650	4702650	14	4702650	4707892	4774402	52.14	52.15	4702650	4702650	4702650	4702650	1	1	1	1	21	1	4702650	20	0.0	0.0	0	9	1	7047	98.405	1.001	0.51	6.53	1.09	4391	38	1915178	4698868	490267	490267	306068	306068	2	2	5	5	86.2422	33.98	92.19
ERR2197906	SAL_NA7657AA	16-166042_S30	ILLUMINA	Paired	927	ERX2253520	NA	NA	SAL_NA7657AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Italy	NA	NA	NA	NA	NA	NA	Enteritidisï¿½	I	NA	NA	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE	NA	NA	PRJEB23485	ERP105243	SAMEA104390743	ERS2008685	30/01/2018	28/01/2018	Assembled	62	406246	4702677	"Salmonella enterica;100.0%"	41	2331	3.61	SAL_YA6198AA_AS	ADONIS	ISTITUTO_ZOOPROFILATTICO_SPERIMENTALE_DELLE_VENEZI		2020-02-07T15:33:22.000Z	Enteritidis	9:g,m:-	False	2	0	4704901	10	4704901	4708101	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	10.0	1	1	1	1	1	4708101.0	4704901	4704901	4704901	4704901	4704901	10	4704901	4708101	4774402	52.14	52.15	4704901	4704901	4704901	4704901	1	1	1	1	23	1	4704901	10	0.0	0.0	0	6	1	6762	98.382	1.001	0.42	5.98	0.77	4397	29	1915593	4699829	490601	490601	274186	274186	2	2	5	5	59.1405	23.09	92.18
ERR2210518	SAL_NA0135AA	Salmonella_Enteritidis_155-14	ILLUMINA	Paired	300	ERX2264871	483092082	99	SAL_NA0135AA	Human	Human	"Homo sapiens; Feaces"	2014	5	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413217	ERS2031159	06/12/2017	05/12/2017	Assembled	102	421870	4704845	"Salmonella enterica;100.0%"	33	1264	3.61	SAL_XA6365AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T15:31:47.000Z	Enteritidis	9:g,m:-	False	0	0	4700415	2	4700415	4704080	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	3	2	2	2	2	-	4703992	4700327	4700327	4700327	4700327	3	2573276	4703992	4685848	52.13	52.17	2573276	2573276	2127051	2127051	1	1	2	2	17	2	4700327	18	-	-	0	1	2	65207	98.959	1	1.3	2.39	1.6	4704	20	1740467	4636359	644145	644145	229194	229194	2	2	5	5	91.4173	40.66	92.04
ERR2210520	SAL_NA0133AA	Salmonella_Enteritidis_156-15	ILLUMINA	Paired	300	ERX2264873	467572112	98	SAL_NA0133AA	Human	Human	"Homo sapiens; Feaces"	2015	7	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413219	ERS2031161	06/12/2017	05/12/2017	Assembled	99	361299	4703397	"Salmonella enterica;100.0%"	35	1049	3.61	SAL_XA6367AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T15:31:42.000Z	Enteritidis	9:g,m:-	False	0	0	4653042	4	4653042	4703166	Typhimurium_LT2_AE006468	Enteritidis_P125109	4.0	3	2	2	2	1	4703166.0	4702959	4699294	4699294	4699294	4653042	4	4653042	4703166	4685848	52.13	52.17	4653042	4653042	4653042	4653042	1	1	1	1	14	1	4653042	20	0.0	0.0	0	3	1	64189	98.968	1	1.06	1.88	1.55	4703	24	1954954	4636357	830283	830283	432995	432995	2	2	4	4	90.0542	38.56	92.07
ERR2210526	SAL_NA0127AA	Salmonella_Enteritidis_172-16	ILLUMINA	Paired	300	ERX2264879	481034764	98	SAL_NA0127AA	Human	Human	"Homo sapiens; Feaces"	2016	6	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413225	ERS2031167	06/12/2017	05/12/2017	Assembled	102	406259	4706390	"Salmonella enterica;96.97%"	32	1037	3.61	SAL_XA6373AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T15:31:41.000Z	Enteritidis	9:g,m:-	False	0	0	4699874	2	4699874	4710404	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	4	4	4	3	3	-	4710245	4710245	4710245	4699715	4699715	4	2382748	4710245	4685848	52.13	52.17	2382748	2382748	1855109	1855109	1	1	2	2	13	3	4699715	20	-	-	0	1	2	73246	98.915	1	1.02	1.77	1.32	4704	21	1550351	4632926	492215	492215	406449	406449	3	3	5	5	93.8092	41.82	92.19
ERR2210527	SAL_NA0126AA	Salmonella_Enteritidis_173-16	ILLUMINA	Paired	300	ERX2264880	402464832	98	SAL_NA0126AA	Human	Human	"Homo sapiens; Feaces"	2016	6	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413226	ERS2031168	06/12/2017	05/12/2017	Assembled	85	406160	4705740	"Salmonella enterica;97.14%"	32	1328	3.61	SAL_XA6374AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T15:31:43.000Z	Enteritidis	9:g,m:-	False	0	0	4700993	4	4700993	4709468	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	4	3	2	2	2	-	4708921	4707355	4700925	4700925	4700925	5	4243825	4709400	4685848	52.13	52.17	4243825	4243825	4243825	4243825	1	1	1	1	11	2	4700925	17	-	-	0	3	2	70314	98.971	1	1.23	3.39	1.9	4706	17	1956632	4639010	831006	831006	433426	433426	2	2	4	4	77.1653	38.23	92
ERR2210528	SAL_NA0125AA	Salmonella_Enteritidis_174-16	ILLUMINA	Paired	300	ERX2264881	377472348	99	SAL_NA0125AA	Human	Human	"Homo sapiens; Feaces"	2016	6	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413227	ERS2031169	06/12/2017	05/12/2017	Assembled	80	492034	4699684	"Salmonella enterica;100.0%"	31	254	3.61	SAL_XA6375AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T16:20:56.000Z	Enteritidis	9:g,m:-	False	0	0	4699501	2	4699501	4699713	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	6	6	6	6	6	-	4699106	4699106	4699106	4699106	4699106	7	2240302	4699318	4774402	52.14	52.15	1194226	1194226	481605	481605	2	2	3	3	17	4	3986249	25	-	-	0	1	2	4056	98.285	1.001	1.09	6.01	2	4383	44	1925382	4684117	481177	481177	233987	233987	2	2	6	6	74.8617	30.14	92.54
ERR2210530	SAL_NA0123AA	Salmonella_Enteritidis_176-16	ILLUMINA	Paired	300	ERX2264883	306072442	97	SAL_NA0123AA	Human	Human	"Homo sapiens; Feaces"	2016	6	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413229	ERS2031171	06/12/2017	05/12/2017	Assembled	65	406293	4699450	"Salmonella enterica;100.0%"	41	478	3.61	SAL_XA6377AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T16:58:52.000Z	Enteritidis	9:g,m:-	False	0	0	4699736	2	4699736	4699964	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	4	4	4	4	4	-	4699450	4699450	4699450	4699450	4699450	5	2523507	4699678	4774402	52.14	52.15	2523507	2523507	1221479	1221479	1	1	2	2	16	4	4699450	24	-	-	0	1	1	1221	98.318	1.001	1.21	6.65	1.98	4384	41	1798135	4694701	722909	722909	370859	370859	2	2	5	5	60.4253	30.06	92.36
ERR2210565	SAL_NA0088AA	Salmonella_Enteritidis_238-14	ILLUMINA	Paired	300	ERX2264918	366450876	99	SAL_NA0088AA	Food	ND	NA	2014	8	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413264	ERS2031206	06/12/2017	05/12/2017	Assembled	78	647852	4642420	"Salmonella enterica;100.0%"	30	1227	3.61	SAL_XA6412AA_AS	ADONIS	NIPH_NIH			Enteritidis	9:g,m:-	False	0	0	4641613	2	4641613	4641824	Typhimurium_LT2_AE006468	Enteritidis_P125109	2.0	1	1	1	1	1	4641824.0	4641613	4641613	4641613	4641613	4641613	2	4641613	4641824	4685848	52.14	52.17	4641613	4641613	4641613	4641613	1	1	1	1	12	1	4641613	18	0.0	0.0	0	1	1	5503	98.914	1	1.01	1.92	1.27	4704	17	1956327	4636250	694861	694861	433768	433768	2	2	4	4	73.9085	30.9	92.14
